Jonas;Valančiūnas;1992-05-06;211;Centras;FC Barcelona;true;false
Mantas;Kalnietis;1986-09-06;196;Gynėjas;Žalgiris;true;true
Rokas;Giedraitis;1992-08-16;200;Puolėjas;Baskonia;true;false
Mindaugas;Kuzminskas;1989-10-24;206;Puolėjas;AEK;true;false
Tadas;Sedekerskis;1998-01-17;206;Puolėjas;Baskonia;true;false
Deividas;Sirvydis;2000-06-25;204;Puolėjas;Žalgiris;true;false
Lukas;Lekavičius;1994-03-30;180;Gynėjas;Žalgiris;true;false
Arnas;Butkevičius;1992-11-22;196;Puolėjas;Žalgiris;false;false
Dovydas;Giedraitis;2000-08-17;193;Gynėjas;Žalgiris;false;false
Laurynas;Birutis;1997-08-10;213;Centras;Šiauliai;true;false
Margiris;Normantas;1996-10-06;194;Gynėjas;Lietkabelis;false;false
Gabrielius;Maldūnas;1993-11-19;205;Centras;Lietkabelis;false;false
