Jonas;Valanciunas;1992-05-06;211;centras;Denver Nuggets;false;false
Rokas;Jokubaitis;2000-11-19;193;gynėjas;Maccabi Tel Aviv;false;false
Tadas;Sedekerskis;1998-12-17;206;puolėjas;Baskonia;false;false
Gytis;Radzevicius;1995-01-30;197;puolėjas;Rytas;false;false
Eimantas;Bendzius;1990-04-23;204;puolėjas;APU;false;false
Arnas;Velicka;1999-04-10;192;gynėjas;Löwen Braunschweig;false;false
Kristupas;Zemaitis;1996-09-24;192;gynėjas;Lietkabelis;false;false
Ignas;Brazdeikis;1999-01-08;201;puolėjas;Zalgiris;false;false
Marekas;Blazevic;2001-09-01;210;centras;Tofas;false;false
Laurynas;Birutis;1997-08-27;213;centras;Zalgiris;false;false
